,bandwidth,N,function,time,holdout_likelihood
0,kdenetwork_ucv,100,kurtotic,1.5542492866516113,-71.48035864662592
0,kde_network_normal_rule,100,kurtotic,0.004998207092285156,-71.4321922248089
0,SP_network_ucv,100,kurtotic,0.037001848220825195,-71.374767476387
0,SP_network_normal_rule,100,kurtotic,0.002998828887939453,-70.96270947263383
0,kdenetwork_ucv,100,bimodal,0.01300668716430664,-48.91894450444285
0,kde_network_normal_rule,100,bimodal,0.0029997825622558594,-48.68134127412118
0,SP_network_ucv,100,bimodal,0.011522531509399414,-47.573959404931
0,SP_network_normal_rule,100,bimodal,0.0010008811950683594,-47.479647300677584
0,kdenetwork_ucv,100,trimodal,0.08051419258117676,-57.86054196518481
0,kde_network_normal_rule,100,trimodal,0.004999399185180664,-59.06783639279251
0,SP_network_ucv,100,trimodal,0.08200478553771973,-57.86054196518481
0,SP_network_normal_rule,100,trimodal,0.004002094268798828,-59.06783639279251
0,kdenetwork_ucv,100,separated_bimodal,0.14952945709228516,-52.024244370008624
0,kde_network_normal_rule,100,separated_bimodal,0.0050013065338134766,-65.29871395268225
0,SP_network_ucv,100,separated_bimodal,0.12317633628845215,-52.024244370008624
0,SP_network_normal_rule,100,separated_bimodal,0.008521080017089844,-65.29871395268225
0,kdenetwork_ucv,100,asymmetric_bimodal,0.1585099697113037,-54.55422288833837
0,kde_network_normal_rule,100,asymmetric_bimodal,0.005007266998291016,-55.582389804276175
0,SP_network_ucv,100,asymmetric_bimodal,0.04603838920593262,-52.911056448075804
0,SP_network_normal_rule,100,asymmetric_bimodal,0.003000497817993164,-54.11220892340387
0,kdenetwork_ucv,100,double_fountain,0.010997295379638672,-60.09788321915895
0,kde_network_normal_rule,100,double_fountain,0.0020008087158203125,-62.06211130131964
0,SP_network_ucv,100,double_fountain,0.05251717567443848,-60.09788321915895
0,SP_network_normal_rule,100,double_fountain,0.0040035247802734375,-62.06211130131964
0,kdenetwork_ucv,100,F_1,1.6843841075897217,-176.52673998288955
0,kde_network_normal_rule,100,F_1,0.06300544738769531,-178.95688534041287
0,SP_network_ucv,100,F_1,1.246105432510376,-170.59835287673425
0,SP_network_normal_rule,100,F_1,0.029003143310546875,-172.45977643374442
0,kdenetwork_ucv,100,F_2,1.4595894813537598,-162.01150875206514
0,kde_network_normal_rule,100,F_2,0.09917879104614258,-165.0306700336139
0,SP_network_ucv,100,F_2,1.778730869293213,-163.94112104027073
0,SP_network_normal_rule,100,F_2,0.08503508567810059,-164.26362980458708
0,kdenetwork_ucv,1000,kurtotic,0.8174481391906738,-696.8545303681376
0,kde_network_normal_rule,1000,kurtotic,0.03499865531921387,-696.9793519953344
0,SP_network_ucv,1000,kurtotic,0.35818982124328613,-696.8545303681376
0,SP_network_normal_rule,1000,kurtotic,0.027000904083251953,-696.9793519953344
0,kdenetwork_ucv,1000,bimodal,0.05499887466430664,-511.3093730151911
0,kde_network_normal_rule,1000,bimodal,0.01799774169921875,-512.4978701386251
0,SP_network_ucv,1000,bimodal,0.1645669937133789,-511.3093730151911
0,SP_network_normal_rule,1000,bimodal,0.018999576568603516,-512.4978701386251
0,kdenetwork_ucv,1000,trimodal,0.48430705070495605,-568.5719865686275
0,kde_network_normal_rule,1000,trimodal,0.03360152244567871,-567.9358721533604
0,SP_network_ucv,1000,trimodal,0.5426950454711914,-568.5719865686275
0,SP_network_normal_rule,1000,trimodal,0.027002573013305664,-567.9358721533604
0,kdenetwork_ucv,1000,separated_bimodal,0.948066234588623,-534.0663304817011
0,kde_network_normal_rule,1000,separated_bimodal,0.034002065658569336,-600.2966986185625
0,SP_network_ucv,1000,separated_bimodal,0.7059955596923828,-534.0663304817011
0,SP_network_normal_rule,1000,separated_bimodal,0.052509307861328125,-600.2966986185625
0,kdenetwork_ucv,1000,asymmetric_bimodal,0.5554077625274658,-520.8648099221385
0,kde_network_normal_rule,1000,asymmetric_bimodal,0.03400087356567383,-535.4596210891877
0,SP_network_ucv,1000,asymmetric_bimodal,0.6245036125183105,-520.8648099221385
0,SP_network_normal_rule,1000,asymmetric_bimodal,0.025003671646118164,-535.4596210891877
0,kdenetwork_ucv,1000,double_fountain,0.4006173610687256,-501.67314996851724
0,kde_network_normal_rule,1000,double_fountain,0.03300023078918457,-514.0074049700577
0,SP_network_ucv,1000,double_fountain,0.17058753967285156,-500.4998548510167
0,SP_network_normal_rule,1000,double_fountain,0.017997026443481445,-516.6419390258126
0,kdenetwork_ucv,1000,F_1,3.13482403755188,-1629.4840589743426
0,kde_network_normal_rule,1000,F_1,0.42824697494506836,-1631.9110337226405
0,SP_network_ucv,1000,F_1,0.32975220680236816,-1612.8761414590763
0,SP_network_normal_rule,1000,F_1,0.04851102828979492,-1612.8761414590763
0,kdenetwork_ucv,1000,F_2,20.00386381149292,-1598.758012468105
0,kde_network_normal_rule,1000,F_2,0.6605186462402344,-1624.9428515065463
0,SP_network_ucv,1000,F_2,17.37859272956848,-1599.4398056530263
0,SP_network_normal_rule,1000,F_2,0.9061706066131592,-1623.524377512036
0,kdenetwork_ucv,10000,kurtotic,2.830660820007324,-7079.425482315835
0,kde_network_normal_rule,10000,kurtotic,0.353381872177124,-7081.532845410391
0,SP_network_ucv,10000,kurtotic,6.034823417663574,-7079.425482315835
