,bandwidth,N,function,time,holdout_likelihood
0,kdenetwork_ucv,100,kurtotic,0.1302485466003418,-74.68841247128066
0,kdenetwork_bcv,100,kurtotic,2.2806200981140137,-75.3290673021295
0,kdenetwork_scv,100,kurtotic,24.359933376312256,-75.3290673021295
0,kdenetwork_PI,100,kurtotic,5.11711573600769,-75.3290673021295
0,kde_network_normal_rule,100,kurtotic,0.004048824310302734,-74.45919520868051
0,SP_network_ucv,100,kurtotic,0.0,-73.84019468142709
0,SP_network_bcv,100,kurtotic,0.0009975433349609375,-73.84019468142709
0,SP_network_scv,100,kurtotic,0.0009975433349609375,-73.84019468142709
0,SP_network_PI,100,kurtotic,0.0010406970977783203,-73.84019468142709
0,SP_network_normal_rule,100,kurtotic,0.0009968280792236328,-73.84019468142709
0,kdenetwork_ucv,100,separated_bimodal,0.21043682098388672,-53.64579729761864
0,kdenetwork_bcv,100,separated_bimodal,5.410531044006348,-84.03415329481362
0,kdenetwork_scv,100,separated_bimodal,19.136824131011963,-84.03415329481362
0,kdenetwork_PI,100,separated_bimodal,5.023322820663452,-84.03415329481362
0,kde_network_normal_rule,100,separated_bimodal,0.005984306335449219,-67.5176976772456
0,SP_network_ucv,100,separated_bimodal,0.16156816482543945,-53.64579729761864
0,SP_network_bcv,100,separated_bimodal,14.583002090454102,-79.90311156211844
0,SP_network_scv,100,separated_bimodal,55.29573464393616,-69.15855573458103
0,SP_network_PI,100,separated_bimodal,6.6867356300354,-75.40426868957312
0,SP_network_normal_rule,100,separated_bimodal,0.008975505828857422,-67.5176976772456
0,kdenetwork_ucv,100,asymmetric bimodal,0.17643141746520996,-53.43452912224201
0,kdenetwork_bcv,100,asymmetric bimodal,5.681923151016235,-61.03640362386897
0,kdenetwork_scv,100,asymmetric bimodal,45.35548114776611,-61.03640362386897
0,kdenetwork_PI,100,asymmetric bimodal,5.131277561187744,-61.03640362386897
0,kde_network_normal_rule,100,asymmetric bimodal,0.005042314529418945,-52.9971255387643
0,SP_network_ucv,100,asymmetric bimodal,0.07421112060546875,-52.48511172325665
0,SP_network_bcv,100,asymmetric bimodal,1.9086971282958984,-55.94295899374846
0,SP_network_scv,100,asymmetric bimodal,8.343687295913696,-55.94295899374846
0,SP_network_PI,100,asymmetric bimodal,1.7024471759796143,-55.94295899374846
0,SP_network_normal_rule,100,asymmetric bimodal,0.001995086669921875,-52.322803495642475
0,kdenetwork_ucv,100,kurtotic,0.05385613441467285,-72.15630053390193
0,kdenetwork_bcv,100,kurtotic,7.995004415512085,-77.9897589674467
0,kdenetwork_scv,100,kurtotic,22.425435304641724,-77.9897589674467
0,kdenetwork_PI,100,kurtotic,5.1297218799591064,-77.9897589674467
0,kde_network_normal_rule,100,kurtotic,0.004986763000488281,-71.9870257368573
0,SP_network_ucv,100,kurtotic,0.04388236999511719,-70.5617217756209
0,SP_network_bcv,100,kurtotic,2.025543451309204,-70.96315125525904
0,SP_network_scv,100,kurtotic,23.03338122367859,-71.28906236714319
0,SP_network_PI,100,kurtotic,5.106767654418945,-71.35388551373953
0,SP_network_normal_rule,100,kurtotic,0.003989458084106445,-70.49385969546964
0,kdenetwork_ucv,100,separated_bimodal,0.1343231201171875,-54.26591776119734
0,kdenetwork_bcv,100,separated_bimodal,10.281599521636963,-77.73619826651078
0,kdenetwork_scv,100,separated_bimodal,61.405826568603516,-77.73619826651078
0,kdenetwork_PI,100,separated_bimodal,5.030547380447388,-77.73619826651078
0,kde_network_normal_rule,100,separated_bimodal,0.005012035369873047,-64.25702486479358
0,SP_network_ucv,100,separated_bimodal,0.08515763282775879,-54.26591776119734
0,SP_network_bcv,100,separated_bimodal,8.971133947372437,-72.61912005730613
0,SP_network_scv,100,separated_bimodal,13.612597465515137,-66.59629082980486
0,SP_network_PI,100,separated_bimodal,3.349043607711792,-72.61912005730613
0,SP_network_normal_rule,100,separated_bimodal,0.008005142211914062,-64.25702486479358
0,kdenetwork_ucv,100,asymmetric bimodal,0.13763165473937988,-52.19873637020525
0,kdenetwork_bcv,100,asymmetric bimodal,14.99689531326294,-62.87541963277376
0,kdenetwork_scv,100,asymmetric bimodal,18.665085315704346,-62.87541963277376
0,kdenetwork_PI,100,asymmetric bimodal,10.277515411376953,-62.87541963277376
0,kde_network_normal_rule,100,asymmetric bimodal,0.003989696502685547,-53.669670789847274
0,SP_network_ucv,100,asymmetric bimodal,0.054853200912475586,-52.22586383906955
0,SP_network_bcv,100,asymmetric bimodal,1.9069011211395264,-55.894986130760685
0,SP_network_scv,100,asymmetric bimodal,5.872296094894409,-55.894986130760685
0,SP_network_PI,100,asymmetric bimodal,1.7024471759796143,-55.894986130760685
0,SP_network_normal_rule,100,asymmetric bimodal,0.002991914749145508,-53.57315742188021
0,kdenetwork_ucv,100,kurtotic,0.05585074424743652,-77.37002508395068
0,kdenetwork_bcv,100,kurtotic,3.6482441425323486,-77.04104909752554
0,kdenetwork_scv,100,kurtotic,26.07614040374756,-77.04104909752554
0,kdenetwork_PI,100,kurtotic,5.102413177490234,-77.04104909752554
0,kde_network_normal_rule,100,kurtotic,0.003989219665527344,-75.71928078920584
0,SP_network_ucv,100,kurtotic,0.012965202331542969,-75.771797483332
0,SP_network_bcv,100,kurtotic,5.277885675430298,-75.63107959860739
0,SP_network_scv,100,kurtotic,26.837329626083374,-74.9574885216431
0,SP_network_PI,100,kurtotic,5.072179317474365,-75.02003540557304
0,SP_network_normal_rule,100,kurtotic,0.0019948482513427734,-74.95521278900779
0,kdenetwork_ucv,100,separated_bimodal,0.1623702049255371,17.803658082272122
0,kdenetwork_bcv,100,separated_bimodal,15.849433183670044,-80.44177948087244
0,kdenetwork_scv,100,separated_bimodal,83.18431377410889,-80.44177948087244
0,kdenetwork_PI,100,separated_bimodal,5.081693172454834,-80.44177948087244
0,kde_network_normal_rule,100,separated_bimodal,0.0040128231048583984,-68.71907844952526
0,SP_network_ucv,100,separated_bimodal,0.10524940490722656,-58.62214823549449
0,SP_network_bcv,100,separated_bimodal,5.2484331130981445,-79.02977165046958
0,SP_network_scv,100,separated_bimodal,74.75316643714905,-70.81075590786193
0,SP_network_PI,100,separated_bimodal,6.171606779098511,-77.30484290135664
0,SP_network_normal_rule,100,separated_bimodal,0.007003307342529297,-68.71907844952526
0,kdenetwork_ucv,100,asymmetric bimodal,0.1753244400024414,-51.62739223609654
0,kdenetwork_bcv,100,asymmetric bimodal,4.443727254867554,-64.42348826935725
0,kdenetwork_scv,100,asymmetric bimodal,20.807865619659424,-64.42348826935725
0,kdenetwork_PI,100,asymmetric bimodal,5.103368282318115,-64.42348826935725
0,kde_network_normal_rule,100,asymmetric bimodal,0.00498652458190918,-54.26665263271602
0,SP_network_ucv,100,asymmetric bimodal,0.07521724700927734,-50.85770773677642
0,SP_network_bcv,100,asymmetric bimodal,2.063645124435425,-57.70992503254536
0,SP_network_scv,100,asymmetric bimodal,6.6183013916015625,-57.70992503254536
0,SP_network_PI,100,asymmetric bimodal,5.081897497177124,-55.779753429172
0,SP_network_normal_rule,100,asymmetric bimodal,0.0019948482513427734,-53.369014235671315
0,kdenetwork_ucv,100,kurtotic,0.017951488494873047,-99.31576958192298
0,kdenetwork_bcv,100,kurtotic,0.03490614891052246,-74.02412319207056
0,kdenetwork_scv,100,kurtotic,0.058841705322265625,-74.02412319207056
0,kdenetwork_PI,100,kurtotic,0.020044803619384766,-74.02412319207056
0,kde_network_normal_rule,100,kurtotic,0.0029921531677246094,-70.99651926588562
0,SP_network_ucv,100,kurtotic,0.027925491333007812,-68.60955963105826
0,SP_network_bcv,100,kurtotic,1.6256532669067383,-70.67740193278424
0,SP_network_scv,100,kurtotic,7.407271146774292,-70.62772816942376
0,SP_network_PI,100,kurtotic,1.7116329669952393,-70.67740193278424
0,SP_network_normal_rule,100,kurtotic,0.001995086669921875,-69.00919115974708
0,kdenetwork_ucv,100,separated_bimodal,0.22057485580444336,-51.31464739876519
0,kdenetwork_bcv,100,separated_bimodal,4.837489604949951,-84.56060897876318
0,kdenetwork_scv,100,separated_bimodal,64.14338207244873,-84.56060897876318
0,kdenetwork_PI,100,separated_bimodal,5.033934593200684,-84.56060897876318
0,kde_network_normal_rule,100,separated_bimodal,0.0040357112884521484,-68.77968885089076
0,SP_network_ucv,100,separated_bimodal,0.10007953643798828,-51.31464739876519
0,SP_network_bcv,100,separated_bimodal,3.7736449241638184,-78.39218659063674
0,SP_network_scv,100,separated_bimodal,35.68884062767029,-68.55111284168747
