,initial network,learning method,log_likelihood,accuracy
0,G_0,hc_ucv,-364.9948018014036,0.8181818181818182
0,G_1,hc_ucv,-354.02915922720956,0.8181818181818182
0,G_0,hc_nr,-380.3821697100989,0.8181818181818182
0,G_1,hc_nr,-354.02915922720956,0.8181818181818182
0,G_0,hc_ucv,-1025.9726263299767,0.5454545454545454
0,G_1,hc_ucv,-1931.4248375929087,0.5454545454545454
0,G_0,hc_nr,-1028.5149722303083,0.45454545454545453
0,G_1,hc_nr,-1931.4248375929087,0.5454545454545454
0,G_0,hc_ucv,-530.5139570392669,0.6363636363636364
0,G_1,hc_ucv,-578.6441047514359,0.6363636363636364
0,G_0,hc_nr,-475.09011219345007,0.8181818181818182
0,G_1,hc_nr,-578.6441047514359,0.6363636363636364
0,G_0,hc_ucv,-357.34187228036274,0.8181818181818182
0,G_1,hc_ucv,-360.9118109684917,0.9090909090909091
0,G_0,hc_nr,-363.857755896269,0.8181818181818182
0,G_1,hc_nr,-360.9118109684917,0.9090909090909091
0,G_0,hc_ucv,-384.1444289316114,0.45454545454545453
0,G_1,hc_ucv,-365.31028498276544,0.8181818181818182
0,G_0,hc_nr,-395.13741327636603,0.5454545454545454
0,G_1,hc_nr,-365.31028498276544,0.8181818181818182
0,G_0,hc_ucv,-385.14813457438686,0.45454545454545453
0,G_1,hc_ucv,-374.84071494730824,0.5454545454545454
0,G_0,hc_nr,-388.3333077601401,0.45454545454545453
0,G_1,hc_nr,-374.84071494730824,0.5454545454545454
0,G_0,hc_ucv,-937.0811184332628,0.6
0,G_1,hc_ucv,-1628.0075513067839,0.7
0,G_0,hc_nr,-959.1677860923216,0.7
0,G_1,hc_nr,-1628.0075513067839,0.7
0,G_0,hc_ucv,-333.0721821362335,0.7
0,G_1,hc_ucv,-331.1961823699083,0.7
0,G_0,hc_nr,-331.2751983515612,0.6
0,G_1,hc_nr,-331.1961823699083,0.7
0,G_0,hc_ucv,-2209.690593864222,0.7
0,G_1,hc_ucv,-3800.667166805566,0.6
0,G_0,hc_nr,-1243.6754451348115,0.6
0,G_1,hc_nr,-3800.667166805566,0.6
0,G_0,hc_ucv,-381.03999563214586,0.6
0,G_1,hc_ucv,-406.6399356042421,0.6
0,G_0,hc_nr,-355.76053092894097,0.7
0,G_1,hc_nr,-406.6399356042421,0.6
