,initial network,learning method,log_likelihood,accuracy
0,G_0,hc_ucv,-1832.1975397378794,0.5
0,G_1,hc_ucv,,0.5909090909090909
0,G_0,hc_nr,-1832.1975397378794,0.5
0,G_1,hc_nr,,0.5909090909090909
0,G_0,hc_ucv,55.73992565925617,0.6818181818181818
0,G_1,hc_ucv,,0.5454545454545454
0,G_0,hc_nr,55.73992565925617,0.6818181818181818
0,G_1,hc_nr,,0.5454545454545454
0,G_0,hc_ucv,-134.5379387303596,0.5
0,G_1,hc_ucv,,0.5454545454545454
0,G_0,hc_nr,-134.5379387303596,0.5
0,G_1,hc_nr,,0.5454545454545454
0,G_0,hc_ucv,-1882.257891658242,0.5
0,G_1,hc_ucv,,0.5909090909090909
0,G_0,hc_nr,-1882.257891658242,0.5
0,G_1,hc_nr,,0.5909090909090909
0,G_0,hc_ucv,50.35348100088851,0.6190476190476191
0,G_1,hc_ucv,,0.6666666666666666
0,G_0,hc_nr,50.35348100088851,0.6190476190476191
0,G_1,hc_nr,,0.6666666666666666
0,G_0,hc_ucv,83.54508872803954,0.5714285714285714
0,G_1,hc_ucv,84.29279936933817,0.47619047619047616
0,G_0,hc_nr,83.54508872803954,0.5714285714285714
0,G_1,hc_nr,84.29279936933817,0.47619047619047616
0,G_0,hc_ucv,63.07536433677839,0.5238095238095238
0,G_1,hc_ucv,,0.5714285714285714
0,G_0,hc_nr,63.07536433677839,0.5238095238095238
0,G_1,hc_nr,,0.5714285714285714
0,G_0,hc_ucv,63.20308246525701,0.5238095238095238
0,G_1,hc_ucv,,0.5238095238095238
0,G_0,hc_nr,63.20308246525701,0.5238095238095238
0,G_1,hc_nr,,0.5238095238095238
0,G_0,hc_ucv,40.054812323587996,0.6190476190476191
0,G_1,hc_ucv,,0.5714285714285714
0,G_0,hc_nr,40.054812323587996,0.6190476190476191
0,G_1,hc_nr,,0.5714285714285714
0,G_0,hc_ucv,-8206.309581028603,0.5238095238095238
0,G_1,hc_ucv,,0.5238095238095238
0,G_0,hc_nr,-8206.309581028603,0.5238095238095238
0,G_1,hc_nr,,0.5238095238095238
